Date,Average Difficulty,Active Addresses Count,Average Transaction Fees,Transactions Count,Block Count,Block Size (bytes)
7/14/2018,3.42454E+15,229822,2.499974797,508951,6006,117613442
7/15/2018,3.4221E+15,231420,3.522490491,453706,6067,113308422
7/16/2018,3.44554E+15,341295,0.395416678,703999,5851,137106823
7/17/2018,3.45089E+15,357364,0.360905053,701292,5889,138882182
7/18/2018,3.47838E+15,409849,0.307163035,746145,5757,135810428
7/19/2018,3.43382E+15,379165,0.275387526,734702,5793,137454375
7/20/2018,3.42789E+15,356950,0.371995907,671608,5838,123938282
7/21/2018,3.23643E+15,319591,0.44008402,620634,5997,114955132
7/22/2018,3.34571E+15,338502,0.248976375,675356,5975,124237960
7/23/2018,3.51598E+15,398296,0.330483514,758657,5862,135215590
7/24/2018,3.42594E+15,423877,0.289670628,784910,5815,140866157
7/25/2018,3.47559E+15,431947,0.266177237,787527,5900,142537560
7/26/2018,3.52912E+15,388974,0.249716632,725630,5852,137545648
7/27/2018,3.50312E+15,416595,0.216084082,788715,5909,134525520
7/28/2018,3.54492E+15,382761,0.340241628,703973,5991,117337958
7/29/2018,3.55747E+15,359339,0.197990053,716354,6010,131445206
7/30/2018,3.56292E+15,376103,0.206514228,757712,5963,142212588
7/31/2018,3.52974E+15,374451,0.206157579,745063,5919,141576274
8/1/2018,3.51528E+15,374393,0.413525984,757758,5861,144924805
8/2/2018,3.55408E+15,369948,0.175975092,779928,5854,144018513
8/3/2018,3.47733E+15,394710,0.190589406,753190,5916,132487957
8/4/2018,3.56568E+15,340854,0.226412348,720548,6003,127698377
8/5/2018,3.56762E+15,320195,0.152571625,704249,5932,131727253
8/6/2018,3.59533E+15,348727,0.247258566,699536,5923,138106489
8/7/2018,3.56636E+15,323836,0.799739645,636342,5875,116345405
8/8/2018,3.5912E+15,291558,1.802982249,565663,5957,96877164
8/9/2018,3.60604E+15,284548,1.684000905,538530,5930,92170358
8/10/2018,3.58238E+15,325203,0.818994503,613892,5926,110198409
8/11/2018,3.55379E+15,336510,0.249213247,657312,5945,120592145
8/12/2018,3.49094E+15,332668,0.179539873,641927,5835,115265909
8/13/2018,3.50041E+15,352269,0.215551134,694941,5872,128911834
8/14/2018,3.5453E+15,334805,0.239852494,690348,5952,130121230
8/15/2018,3.50691E+15,328753,0.255802145,648565,5965,117898133
8/16/2018,3.43668E+15,354449,0.209235711,716732,5940,132630688
8/17/2018,3.48303E+15,312809,1.003640839,607270,5840,119799727
8/18/2018,3.44165E+15,305324,0.20806914,627522,5883,132440767
8/19/2018,3.46887E+15,304996,0.197243841,599660,5930,130550756
8/20/2018,3.49474E+15,336770,0.166304795,663769,5932,149092855
8/21/2018,3.51609E+15,300645,0.17516783,605639,5961,150507287
8/22/2018,3.59397E+15,306983,0.404653832,594918,5922,135197700
8/23/2018,3.45197E+15,300126,0.275369701,599557,5853,142271749
8/24/2018,3.43123E+15,316189,0.498885518,596227,5946,135916665
8/25/2018,3.5005E+15,304696,0.160869393,577239,5926,147774706
8/26/2018,3.56973E+15,320400,0.45254889,574072,5947,143877724
8/27/2018,3.49542E+15,329885,0.165635122,645935,5942,147734568
8/28/2018,3.49116E+15,320916,0.183926042,613844,5898,153252282
8/29/2018,3.45609E+15,267879,0.28010488,546841,5890,144609036
8/30/2018,3.43229E+15,287916,0.21135984,592847,5910,139877930
8/31/2018,3.46588E+15,290044,0.218970026,577258,5953,131668077
9/1/2018,3.42722E+15,322434,0.162048084,656254,5880,139635900
9/2/2018,3.38592E+15,333290,0.15729928,620267,6027,138990835
9/3/2018,3.40654E+15,340844,0.170171155,631429,5887,147202668
9/4/2018,3.39475E+15,316527,0.222612287,589521,5968,137784899
9/5/2018,3.43548E+15,321744,0.135368221,626957,5956,151363404
9/6/2018,3.39979E+15,303884,0.198831858,588959,6048,141998572
9/7/2018,3.39966E+15,305417,0.187330054,582184,5913,148491755
9/8/2018,3.37592E+15,281740,0.146398154,543337,5936,149634966
9/9/2018,3.20959E+15,284904,0.149753821,565631,5899,130475678
9/10/2018,3.22098E+15,282579,0.156555733,561611,6007,141297601
9/11/2018,3.19734E+15,261353,0.169401633,557317,6002,133946969
9/12/2018,3.13309E+15,261275,0.166315216,570673,6043,145832808
9/13/2018,3.04996E+15,276678,0.204913624,555753,6004,144342373
9/14/2018,3.14274E+15,258740,0.16150506,514394,6066,159592770
9/15/2018,3.14668E+15,244687,0.179006356,479695,6051,156163251
9/16/2018,3.12949E+15,228206,0.177674385,458432,6113,166179667
9/17/2018,3.14009E+15,291307,0.157153481,553720,6080,157588581
9/18/2018,3.17889E+15,258463,0.227338411,500513,5967,156194415
9/19/2018,3.17066E+15,235612,0.287897724,507255,6123,122608861
9/20/2018,3.17654E+15,261726,0.222130673,498146,6014,145802634
9/21/2018,3.11211E+15,254561,0.30809742,544686,6084,159668470
9/22/2018,3.27809E+15,231040,0.21416643,470309,6038,151077283
9/23/2018,3.24898E+15,228519,0.193317249,468627,6080,156625559
9/24/2018,3.26468E+15,226513,0.322199577,480337,6075,174276721
9/25/2018,3.22256E+15,238299,0.215795616,519108,6113,172456307
9/26/2018,3.28367E+15,221050,0.233165655,493507,6112,181786029
9/27/2018,3.27677E+15,242499,0.25832564,504047,6081,179252393
9/28/2018,3.28565E+15,249548,0.274251559,500407,6098,171156020
9/29/2018,3.26576E+15,222349,0.352680598,434315,6095,124506705
9/30/2018,3.26016E+15,242254,0.252943248,479351,6114,145793056
10/1/2018,3.24065E+15,235188,0.295324672,476308,6095,149896751
10/2/2018,3.21193E+15,237819,0.297044684,490262,6180,148979852
10/3/2018,3.22609E+15,288662,0.174217391,559006,6075,130142896
10/4/2018,3.26175E+15,294709,0.174330971,559181,6146,139236168
10/5/2018,3.277E+15,315425,0.163549684,595361,6099,127159907
10/6/2018,3.25261E+15,326444,0.108963254,596865,6222,109566965
10/7/2018,3.27529E+15,266999,0.141628167,497767,6241,96121905
10/8/2018,3.3116E+15,281024,0.180939056,542842,6179,105264175
10/9/2018,3.28936E+15,278759,0.163335957,537028,6149,112188265
10/10/2018,3.29491E+15,259112,0.193850207,516772,6168,104033046
10/11/2018,3.2197E+15,276591,0.157580428,570525,6143,111592995
10/12/2018,3.23721E+15,277706,0.213433332,562140,6170,124643546
10/13/2018,3.19643E+15,281709,0.123804817,541797,6176,106962595
10/14/2018,3.22078E+15,286828,0.111027806,511719,6182,94228890
10/15/2018,3.21546E+15,298338,0.149335527,562011,6095,107153415
10/16/2018,3.2056E+15,304839,0.125725326,575450,6114,107881069
10/17/2018,3.18985E+15,308025,0.134321762,580354,6130,108888589
10/18/2018,3.23758E+15,316673,0.127736391,565791,6142,109136645
10/19/2018,3.21361E+15,287643,0.138059883,601119,6065,112470618
10/20/2018,3.15721E+15,344066,0.13873368,534080,6158,97001285
10/21/2018,3.12831E+15,308778,0.131953517,508014,6124,98694145
10/22/2018,3.11462E+15,333040,0.139097854,577314,6065,118695553
10/23/2018,3.09987E+15,313343,0.14723878,556231,6168,108661000
10/24/2018,3.14733E+15,323381,0.177296143,532709,6124,126564501
10/25/2018,3.12225E+15,314814,0.202010061,537236,6123,133964757
10/26/2018,3.06479E+15,318269,0.174974857,551218,6122,123138046
10/27/2018,3.12776E+15,308409,0.142349326,499165,6100,92805166
10/28/2018,3.09652E+15,333518,0.132152916,509862,6137,95577302
10/29/2018,3.05184E+15,333546,0.135057967,614695,6111,120260852
10/30/2018,3.09949E+15,359738,0.135981623,608397,6043,115319381
10/31/2018,3.10843E+15,352140,0.142332126,585707,6157,110007579
11/1/2018,3.0616E+15,317485,0.136579907,589096,6069,109763750
11/2/2018,3.0045E+15,267634,0.161667067,548534,6069,104183397
11/3/2018,3.00083E+15,278264,0.155923486,505015,6119,96680956
11/4/2018,3.0335E+15,299497,0.145254248,510848,6109,97059819
11/5/2018,2.98939E+15,291779,0.179791084,582354,6075,106688788
11/6/2018,3.01343E+15,278348,0.185745524,597166,6064,114570828
11/7/2018,3.00274E+15,270280,0.179621675,564602,6144,109335876
11/8/2018,3.06221E+15,288705,0.20768338,555392,6066,111487489
11/9/2018,3.00314E+15,316813,0.156267887,547848,6091,106404819
11/10/2018,2.9993E+15,329225,0.128463783,489120,6113,100102037
11/11/2018,3.0824E+15,355871,0.109566947,527799,6121,104633209
11/12/2018,3.00785E+15,327353,0.161680662,571162,6171,113664810
11/13/2018,3.03252E+15,336439,0.175675729,553590,6095,107890716
11/14/2018,3.0628E+15,336750,0.175420031,582181,6071,114327476
11/15/2018,3.06979E+15,367079,0.198248764,563051,6073,107165038
11/16/2018,3.08901E+15,330177,0.169358901,552107,6182,105713694
11/17/2018,3.01397E+15,336902,0.139213587,505581,6112,94753394
11/18/2018,2.99179E+15,311575,0.165830083,484801,6159,90417923
11/19/2018,2.99631E+15,362855,0.149169467,622942,5999,113991351
11/20/2018,2.92533E+15,325428,0.131724776,625752,6028,119089570
11/21/2018,2.7897E+15,305267,0.12264225,579531,6136,110156495
11/22/2018,2.75673E+15,304552,0.110280186,568895,6063,107865091
11/23/2018,2.76459E+15,296227,0.11441788,559992,6119,108058211
11/24/2018,2.75705E+15,285249,0.103065653,497091,6119,95569180
11/25/2018,2.70701E+15,306399,0.114435117,529038,6154,101613651
11/26/2018,2.69469E+15,324681,0.09902786,557388,6071,104756173
11/27/2018,2.51627E+15,325795,0.093242448,565825,5995,107362807
11/28/2018,2.39979E+15,321224,0.125109568,622580,6026,119897986
11/29/2018,2.41908E+15,263790,0.15444292,555591,6121,109042091
11/30/2018,2.42563E+15,278002,0.165783838,599039,6046,112708956
12/1/2018,2.51271E+15,310612,0.130359144,525757,6057,98505306
12/2/2018,2.42544E+15,276777,0.120001358,492410,6061,92625715
12/3/2018,2.42179E+15,269535,0.117539725,548100,6033,108728366
12/4/2018,2.46682E+15,258028,0.116791722,565202,6039,108534206
12/5/2018,2.3991E+15,279019,0.110573479,595937,6017,114099860
12/6/2018,2.44351E+15,283624,0.077488296,590923,6056,116060115
12/7/2018,2.36051E+15,313613,0.079138698,572417,5972,109905493
12/8/2018,2.30916E+15,333138,0.057560659,552651,6023,104327823
12/9/2018,2.28904E+15,289050,0.062414507,507555,6097,102889275
12/10/2018,2.3596E+15,290286,0.064970309,555379,6176,112379796
12/11/2018,2.35054E+15,282399,0.062586273,536006,5984,106055929
12/12/2018,2.2581E+15,314610,0.061399472,533920,6076,101319325
12/13/2018,2.21904E+15,303851,0.065723654,565689,6097,107558969
12/14/2018,2.21654E+15,297473,0.086158033,567306,6014,112312451
12/15/2018,2.2223E+15,378120,0.050869736,551916,6115,102710251
12/16/2018,2.22262E+15,372962,0.050077736,516697,6039,95892838
